ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
136	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154403262	154403497	136	151	0			298	149	NA	NA	1.0		NA
137	"ENSG00000196924.19"	"FLNA"	chrX	-	154352552	154352675	154352180	154352447	154352771	154352783	137	81	0			272	149	NA	NA	1.0		NA
138	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353295	154353457	154353914	154354043	138	135	0			298	149	NA	NA	1.0		NA
139	"ENSG00000196924.19"	"FLNA"	chrX	-	154357250	154357274	154354824	154355072	154357433	154357623	139	41	16			173	149	NA	NA	0.688		NA
140	"ENSG00000196924.19"	"FLNA"	chrX	-	154359989	154360587	154359731	154359905	154361307	154361570	140	92	1			298	149	NA	NA	0.979		NA
141	"ENSG00000196924.19"	"FLNA"	chrX	-	154362417	154362578	154362241	154362332	154362660	154362784	141	299	3			298	149	NA	NA	0.98		NA
142	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154365801	154365348	154365486	154366023	154366224	142	0	21			206	149	NA	NA	0.0		NA
146	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058548	154032465	154032557	154092183	154092307	146	0	11			298	149	NA	NA	0.0		NA
147	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154032206	154032557	154092183	154092307	147	0	11			298	149	NA	NA	0.0		NA
150	"ENSG00000169057.24"	"MECP2"	chrX	-	154092183	154092307	154032206	154032557	154097603	154097663	150	16	6			273	149	NA	NA	0.593		NA
151	"ENSG00000172534.14"	"HCFC1"	chrX	-	153961541	153961648	153960234	153960414	153962221	153962306	151	27	0			256	149	NA	NA	1.0		NA
159	"ENSG00000067840.13"	"PDZD4"	chrX	-	153807896	153808139	153807278	153807369	153808341	153808595	159	4	8			298	149	NA	NA	0.2		NA
160	"ENSG00000180879.14"	"SSR4"	chrX	+	153795927	153796126	153794675	153794754	153796433	153796552	160	0	22			298	149	NA	NA	0.0		NA
161	"ENSG00000180879.14"	"SSR4"	chrX	+	153797457	153797532	153794658	153796552	153797724	153797814	161	74	0			224	149	NA	NA	1.0		NA
163	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153766158	153766324	153765470	153765580	153766872	153767913	163	6	26			298	149	NA	NA	0.103		NA
164	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153766872	153767913	153765470	153765580	153768248	153768428	164	37	1			298	149	NA	NA	0.949		NA
165	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153777947	153778095	153777527	153777688	153778260	153778325	165	80	1			297	149	NA	NA	0.976		NA
166	"ENSG00000185825.17"	"BCAP31"	chrX	-	153723507	153723612	153723152	153723288	153724333	153724435	166	0	10			254	149	NA	NA	0.0		NA
200	"ENSG00000063601.17"	"MTMR1"	chrX	+	150714478	150714529	150699194	150699300	150718624	150718700	200	10	4			200	149	NA	NA	0.651		NA
204	"ENSG00000063601.17"	"MTMR1"	chrX	+	150736594	150736780	150732541	150732730	150737241	150737448	204	23	0			298	149	NA	NA	1.0		NA
205	"ENSG00000063601.17"	"MTMR1"	chrX	+	150751029	150751240	150750729	150750843	150755688	150755865	205	0	15			298	149	NA	NA	0.0		NA
216	"ENSG00000171100.16"	"MTM1"	chrX	+	150645682	150645871	150639725	150641418	150649715	150649901	216	20	0			298	149	NA	NA	1.0		NA
222	"ENSG00000013619.15"	"MAMLD1"	chrX	+	150473679	150473802	150469744	150471490	150503273	150503517	222	12	0			272	149	NA	NA	1.0		NA
223	"ENSG00000013619.15"	"MAMLD1"	chrX	+	150503273	150503517	150469744	150471490	150509961	150510046	223	10	0			298	149	NA	NA	1.0		NA
226	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149486924	149487098	149477103	149483218	149490313	149490440	226	187	2			298	149	NA	NA	0.979		NA
228	"ENSG00000010404.18"	"IDS"	chrX	-	149491537	149491667	149490313	149490440	149496345	149496516	228	0	66			279	149	NA	NA	0.0		NA
229	"ENSG00000010404.18"	"IDS"	chrX	-	149499228	149499354	149498106	149498307	149500948	149501037	229	1	169			275	149	NA	NA	0.003		NA
230	"ENSG00000010404.18"	"IDS"	chrX	-	149502074	149502177	149500948	149501037	149503311	149503489	230	6	47			252	149	NA	NA	0.07		NA
244	"ENSG00000203930.13"	"LINC00632"	chrX	+	140733877	140733964	140711620	140711656	140772077	140772251	244	10	0			236	149	NA	NA	1.0		NA
245	"ENSG00000203930.13"	"LINC00632"	chrX	+	140768339	140768406	140733877	140733964	140772077	140773173	245	1	12			216	149	NA	NA	0.054		NA
247	"ENSG00000203930.13"	"LINC00632"	chrX	+	140772077	140772251	140733877	140733964	140783174	140787343	247	12	0			298	149	NA	NA	1.0		NA
248	"ENSG00000203930.13"	"LINC00632"	chrX	+	140772077	140772358	140733877	140733964	140783174	140786887	248	13	0			298	149	NA	NA	1.0		NA
267	"ENSG00000147274.14"	"RBMX"	chrX	-	136876502	136876655	136875470	136875585	136879016	136879123	267	74	0			298	149	NA	NA	1.0		NA
268	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136877964	136876599	136876655	136879016	136879123	268	19	0			199	149	NA	NA	1.0		NA
269	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136876502	136876655	136879016	136879123	269	62	0			298	149	NA	NA	1.0		NA
270	"ENSG00000169446.6"	"MMGT1"	chrX	-	135967389	135967493	135960587	135965183	135971057	135971110	270	15	0			253	149	NA	NA	1.0		NA
271	"ENSG00000169446.6"	"MMGT1"	chrX	-	135971057	135971110	135967389	135967493	135973596	135973684	271	16	0			202	149	NA	NA	1.0		NA
281	"ENSG00000156531.18"	"PHF6"	chrX	+	134394160	134394228	134393908	134393952	134413490	134413657	281	2	14			217	149	NA	NA	0.089		NA
293	"ENSG00000102078.16"	"SLC25A14"	chrX	+	130346543	130346691	130345181	130345275	130349250	130349345	293	14	0			297	149	NA	NA	1.0		NA
297	"ENSG00000085185.16"	"BCORL1"	chrX	+	130010507	130010663	130005187	130005317	130012577	130012668	297	2	8			298	149	NA	NA	0.111		NA
298	"ENSG00000085185.16"	"BCORL1"	chrX	+	130024989	130025379	130022896	130022977	130028634	130028861	298	6	4			298	149	NA	NA	0.429		NA
299	"ENSG00000085185.16"	"BCORL1"	chrX	+	130034454	130034676	130028634	130028861	130037366	130037533	299	36	0			298	149	NA	NA	1.0		NA
300	"ENSG00000188706.13"	"ZDHHC9"	chrX	-	129814657	129814795	129813676	129813725	129823678	129823837	300	39	0			287	149	NA	NA	1.0		NA
307	"ENSG00000101972.20"	"STAG2"	chrX	+	124026564	124026687	124025839	124025918	124030960	124031125	307	0	15			272	149	NA	NA	0.0		NA
308	"ENSG00000101972.20"	"STAG2"	chrX	+	124051314	124051394	124051120	124051219	124056127	124056235	308	25	0			229	149	NA	NA	1.0		NA
309	"ENSG00000101972.20"	"STAG2"	chrX	+	124090853	124090964	124090574	124090764	124094017	124094144	309	14	1			260	149	NA	NA	0.889		NA
310	"ENSG00000125676.20"	"THOC2"	chrX	-	123623643	123623709	123623104	123623283	123623786	123623971	310	0	17			215	149	NA	NA	0.0		NA
316	"ENSG00000158290.19"	"CUL4B"	chrX	-	120528759	120528821	120526409	120526856	120530101	120530254	316	0	13			211	149	NA	NA	0.0		NA
317	"ENSG00000158290.19"	"CUL4B"	chrX	-	120530101	120530254	120505919	120526856	120532421	120532594	317	22	0			298	149	NA	NA	1.0		NA
318	"ENSG00000158290.19"	"CUL4B"	chrX	-	120532421	120532594	120529975	120530254	120534480	120534586	318	12	0			298	149	NA	NA	1.0		NA
321	"ENSG00000158290.19"	"CUL4B"	chrX	-	120539267	120539372	120538123	120538770	120540369	120540562	321	42	0			254	149	NA	NA	1.0		NA
324	"ENSG00000158290.19"	"CUL4B"	chrX	-	120554907	120554953	120547135	120547239	120557923	120558039	324	0	13			195	149	NA	NA	0.0		NA
325	"ENSG00000158290.19"	"CUL4B"	chrX	-	120558248	120558292	120557923	120558039	120560082	120560776	325	0	20			193	149	NA	NA	0.0		NA
326	"ENSG00000005893.16"	"LAMP2"	chrX	-	120439075	120439293	120431247	120431462	120441729	120441894	326	1	18			298	149	NA	NA	0.027		NA
328	"ENSG00000125355.16"	"TMEM255A"	chrX	-	120276884	120277047	120268243	120268387	120285126	120285215	328	127	5			298	149	NA	NA	0.927		NA
329	"ENSG00000125355.16"	"TMEM255A"	chrX	-	120285126	120285215	120268243	120268387	120287153	120287222	329	18	2			238	149	NA	NA	0.849		NA
330	"ENSG00000125355.16"	"TMEM255A"	chrX	-	120285624	120285696	120285126	120285215	120287153	120287222	330	2	29			221	149	NA	NA	0.044		NA
339	"ENSG00000077721.16"	"UBE2A"	chrX	+	119581506	119581596	119575374	119575400	119582587	119582647	339	13	2			239	149	NA	NA	0.802		NA
343	"ENSG00000101856.10"	"PGRMC1"	chrX	+	119240308	119240464	119236284	119236691	119243150	119244466	343	12	0			298	149	NA	NA	1.0		NA
350	"ENSG00000131725.14"	"WDR44"	chrX	+	118441367	118441559	118436701	118436824	118442243	118442345	350	11	0			298	149	NA	NA	1.0		NA
351	"ENSG00000131725.14"	"WDR44"	chrX	+	118447059	118447114	118444359	118444494	118448892	118449336	351	0	14			204	149	NA	NA	0.0		NA
359	"ENSG00000101901.12"	"ALG13"	chrX	+	111686136	111686174	111684964	111685103	111687886	111688128	359	0	15			187	149	NA	NA	0.0		NA
367	"ENSG00000101901.12"	"ALG13"	chrX	+	111730524	111730580	111730394	111730427	111735050	111735122	367	11	0			205	149	NA	NA	1.0		NA
368	"ENSG00000101901.12"	"ALG13"	chrX	+	111744667	111744904	111736713	111736879	111752789	111752830	368	15	0			298	149	NA	NA	1.0		NA
373	"ENSG00000077264.16"	"PAK3"	chrX	+	111103158	111103306	111097540	111097684	111123076	111123278	373	10	2			297	149	NA	NA	0.715		NA
384	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087685	108087852	108088751	108088850	384	15	0			296	149	NA	NA	1.0		NA
390	"ENSG00000147224.13"	"PRPS1"	chrX	+	107639294	107639478	107628427	107628750	107640901	107640911	390	18	0			298	149	NA	NA	1.0		NA
393	"ENSG00000147224.13"	"PRPS1"	chrX	+	107640901	107641000	107639294	107639478	107642365	107642490	393	13	0			248	149	NA	NA	1.0		NA
409	"ENSG00000123560.14"	"PLP1"	chrX	+	103779848	103779990	103776873	103776999	103785581	103785768	409	0	72			291	149	NA	NA	0.0		NA
410	"ENSG00000123560.14"	"PLP1"	chrX	+	103780802	103780910	103776873	103776999	103785581	103785768	410	0	72			257	149	NA	NA	0.0		NA
411	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678600	103675495	103677051	103685170	103685260	411	17	0			251	149	NA	NA	1.0		NA
413	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103675497	103677051	103685170	103685260	413	19	0			298	149	NA	NA	1.0		NA
414	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103684680	103684729	103678498	103678600	103685170	103685260	414	6	10			198	149	NA	NA	0.311		NA
416	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103684680	103684729	103678498	103678651	103685170	103685260	416	5	8			198	149	NA	NA	0.32		NA
419	"ENSG00000166681.14"	"BEX3"	chrX	+	103377027	103377106	103376394	103376613	103377462	103378077	419	23	0			228	149	NA	NA	1.0		NA
420	"ENSG00000102409.10"	"BEX4"	chrX	+	103215681	103215764	103215107	103215238	103216148	103217246	420	14	0			232	149	NA	NA	1.0		NA
421	"ENSG00000239407.5"	"ENSG00000239407"	chrX	+	102901022	102901133	102900749	102900832	102901630	102901771	421	14	1			260	149	NA	NA	0.889		NA
434	"ENSG00000241343.10"	"RPL36A"	chrX	+	101392049	101392095	101391754	101391822	101395334	101395457	434	0	10			195	149	NA	NA	0.0		NA
435	"ENSG00000126953.8"	"TIMM8A"	chrX	-	101348060	101348401	101345660	101346660	101348532	101348685	435	0	10			298	149	NA	NA	0.0		NA
444	"ENSG00000155008.16"	"APOOL"	chrX	+	85074273	85074391	85073997	85074111	85087589	85093315	444	20	1			267	149	NA	NA	0.918		NA
445	"ENSG00000165259.14"	"HDX"	chrX	-	84475250	84475397	84468471	84469575	84488023	84488132	445	12	0			296	149	NA	NA	1.0		NA
446	"ENSG00000165259.14"	"HDX"	chrX	-	84475250	84475397	84468471	84469575	84502341	84502453	446	12	10			296	149	NA	NA	0.377		NA
447	"ENSG00000165259.14"	"HDX"	chrX	-	84488023	84488132	84468471	84469575	84502341	84502453	447	0	10			258	149	NA	NA	0.0		NA
452	"ENSG00000078596.11"	"ITM2A"	chrX	-	79363422	79363554	79362941	79363139	79367104	79367334	452	48	0			281	149	NA	NA	1.0		NA
467	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73944326	73944662	73994839	73994961	467	6	4			298	149	NA	NA	0.429		NA
512	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	74000496	73998767	73998844	74004269	74007534	512	10	0			298	149	NA	NA	1.0		NA
547	"ENSG00000067177.15"	"PHKA1"	chrX	-	72620724	72620901	72619213	72619305	72623108	72623275	547	10	0			298	149	NA	NA	1.0		NA
560	"ENSG00000147099.21"	"HDAC8"	chrX	-	72494195	72494381	72490928	72491006	72495155	72495268	560	3	8			298	149	NA	NA	0.158		NA
565	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72490928	72491006	72567888	72568030	565	9	1			262	149	NA	NA	0.837		NA
576	"ENSG00000147162.14"	"OGT"	chrX	+	71554512	71554592	71544566	71548023	71555953	71556094	576	22	1			229	149	NA	NA	0.935		NA
577	"ENSG00000147162.14"	"OGT"	chrX	+	71555189	71555385	71554512	71554592	71555953	71556094	577	103	5			298	149	NA	NA	0.912		NA
578	"ENSG00000147133.17"	"TAF1"	chrX	+	71393300	71393476	71392870	71392994	71394066	71394096	578	35	2			298	149	NA	NA	0.897		NA
580	"ENSG00000147133.17"	"TAF1"	chrX	+	71454169	71454237	71424153	71424238	71454740	71454857	580	10	1			217	149	NA	NA	0.873		NA
581	"ENSG00000147133.17"	"TAF1"	chrX	+	71455006	71455012	71454740	71454857	71458240	71458366	581	0	14			155	149	NA	NA	0.0		NA
582	"ENSG00000147133.17"	"TAF1"	chrX	+	71459149	71459251	71458240	71458366	71459551	71459708	582	7	13			251	149	NA	NA	0.242		NA
591	"ENSG00000196338.15"	"NLGN3"	chrX	+	71153476	71153536	71147549	71148206	71155213	71155363	591	7	7			209	149	NA	NA	0.416		NA
592	"ENSG00000196338.15"	"NLGN3"	chrX	+	71155213	71155363	71147549	71148206	71164142	71164328	592	15	0			298	149	NA	NA	1.0		NA
593	"ENSG00000196338.15"	"NLGN3"	chrX	+	71167010	71167800	71161740	71164328	71169253	71169744	593	39	3			298	149	NA	NA	0.867		NA
594	"ENSG00000184634.17"	"MED12"	chrX	+	71124763	71124844	71123593	71124388	71124975	71125146	594	31	0			230	149	NA	NA	1.0		NA
595	"ENSG00000184634.17"	"MED12"	chrX	+	71125662	71125713	71125350	71125495	71126035	71126154	595	23	0			200	149	NA	NA	1.0		NA
597	"ENSG00000184634.17"	"MED12"	chrX	+	71132844	71132956	71131289	71132538	71133122	71133212	597	17	0			261	149	NA	NA	1.0		NA
598	"ENSG00000184634.17"	"MED12"	chrX	+	71134356	71134466	71133122	71133212	71134712	71134848	598	12	0			259	149	NA	NA	1.0		NA
599	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137383	71136878	71137029	71137557	71137635	599	20	0			298	149	NA	NA	1.0		NA
600	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137392	71136878	71137029	71137557	71137635	600	20	0			298	149	NA	NA	1.0		NA
605	"ENSG00000147164.12"	"SNX12"	chrX	-	71061842	71061967	71059246	71061118	71062853	71062931	605	30	0			274	149	NA	NA	1.0		NA
610	"ENSG00000120509.11"	"PDZD11"	chrX	-	70289521	70289593	70289254	70289354	70289859	70289945	610	3	12			221	149	NA	NA	0.144		NA
613	"ENSG00000079482.14"	"OPHN1"	chrX	-	68048415	68048457	68042343	68047163	68052539	68052590	613	10	0			191	149	NA	NA	1.0		NA
614	"ENSG00000079482.14"	"OPHN1"	chrX	-	68063853	68064177	68053644	68053810	68073151	68073299	614	78	3			298	149	NA	NA	0.929		NA
615	"ENSG00000079482.14"	"OPHN1"	chrX	-	68119247	68119332	68113180	68113239	68192918	68192993	615	26	1			234	149	NA	NA	0.943		NA
616	"ENSG00000079482.14"	"OPHN1"	chrX	-	68212107	68212212	68208047	68210282	68213861	68213972	616	25	0			254	149	NA	NA	1.0		NA
623	"ENSG00000001497.18"	"LAS1L"	chrX	-	65528259	65528369	65524763	65525050	65529211	65529258	623	11	4			259	149	NA	NA	0.613		NA
628	"ENSG00000131089.17"	"ARHGEF9"	chrX	-	63638552	63638662	63636330	63638209	63643979	63644048	628	0	28			259	149	NA	NA	0.0		NA
632	"ENSG00000131089.17"	"ARHGEF9"	chrX	-	63665885	63666017	63655493	63655737	63674037	63674138	632	23	0			281	149	NA	NA	1.0		NA
638	"ENSG00000131089.17"	"ARHGEF9"	chrX	-	63724531	63724711	63706257	63706449	63785115	63785214	638	7	5			298	149	NA	NA	0.412		NA
661	"ENSG00000235437.9"	"LINC01278"	chrX	-	63432363	63432491	63396557	63399903	63560831	63561052	661	8	3			277	149	NA	NA	0.589		NA
667	"ENSG00000235437.9"	"LINC01278"	chrX	-	63516909	63517082	63432363	63432491	63560831	63560915	667	9	6			298	149	NA	NA	0.429		NA
669	"ENSG00000235437.9"	"LINC01278"	chrX	-	63516909	63517100	63432363	63432491	63560831	63561054	669	5	6			298	149	NA	NA	0.294		NA
676	"ENSG00000204272.13"	"NBDY"	chrX	+	56732062	56732199	56729240	56729589	56817319	56817376	676	12	0			286	149	NA	NA	1.0		NA
695	"ENSG00000067445.22"	"TRO"	chrX	+	54930740	54931031	54928602	54928710	54931203	54931429	695	17	0			298	149	NA	NA	1.0		NA
701	"ENSG00000172943.21"	"PHF8"	chrX	-	53993600	53993903	53992735	53992839	53995692	53995782	701	13	5			298	149	NA	NA	0.565		NA
703	"ENSG00000172943.21"	"PHF8"	chrX	-	53998154	53998286	53995692	53995782	53999869	53999961	703	0	14			281	149	NA	NA	0.0		NA
704	"ENSG00000072501.19"	"SMC1A"	chrX	-	53381017	53381087	53380619	53380730	53382231	53382383	704	18	0			219	149	NA	NA	1.0		NA
705	"ENSG00000072501.19"	"SMC1A"	chrX	-	53421894	53422040	53414980	53415169	53422491	53422728	705	2	12			295	149	NA	NA	0.078		NA
708	"ENSG00000124313.18"	"IQSEC2"	chrX	-	53235782	53235832	53232874	53235184	53236321	53236495	708	2	10			199	149	NA	NA	0.13		NA
718	"ENSG00000126012.13"	"KDM5C"	chrX	-	53218275	53218398	53217795	53217966	53220838	53220916	718	78	0			272	149	NA	NA	1.0		NA
719	"ENSG00000126012.13"	"KDM5C"	chrX	-	53218563	53218712	53218314	53218398	53220838	53220916	719	0	22			298	149	NA	NA	0.0		NA
720	"ENSG00000126012.13"	"KDM5C"	chrX	-	53220838	53220916	53217795	53217966	53224739	53224801	720	31	0			227	149	NA	NA	1.0		NA
721	"ENSG00000126012.13"	"KDM5C"	chrX	-	53221687	53221730	53220838	53220916	53224739	53225208	721	0	42			192	149	NA	NA	0.0		NA
742	"ENSG00000158352.18"	"SHROOM4"	chrX	-	50638173	50638308	50633177	50635668	50695785	50695937	742	11	4			284	149	NA	NA	0.591		NA
747	"ENSG00000049769.14"	"PPP1R3F"	chrX	+	49270607	49270873	49269842	49269933	49281405	49281461	747	22	0			298	149	NA	NA	1.0		NA
748	"ENSG00000049769.14"	"PPP1R3F"	chrX	+	49285833	49287727	49281980	49282063	49299275	49299435	748	12	1			298	149	NA	NA	0.857		NA
755	"ENSG00000102003.12"	"SYP"	chrX	-	49197486	49197839	49194310	49194361	49198967	49199033	755	19	0			298	149	NA	NA	1.0		NA
756	"ENSG00000102003.12"	"SYP"	chrX	-	49197538	49197839	49194190	49194361	49198967	49199033	756	19	0			298	149	NA	NA	1.0		NA
757	"ENSG00000102003.12"	"SYP"	chrX	-	49197714	49197839	49194165	49194361	49198967	49199033	757	38	0			274	149	NA	NA	1.0		NA
760	"ENSG00000243279.4"	"PRAF2"	chrX	-	49072432	49072650	49071160	49072008	49073808	49074002	760	56	0			298	149	NA	NA	1.0		NA
765	"ENSG00000102100.16"	"SLC35A2"	chrX	-	48909813	48909996	48905858	48906543	48911545	48911634	765	17	0			298	149	NA	NA	1.0		NA
784	"ENSG00000008056.14"	"SYN1"	chrX	-	47574001	47574590	47571900	47572961	47574687	47574775	784	13	0			298	149	NA	NA	1.0		NA
785	"ENSG00000102225.17"	"CDK16"	chrX	+	47222260	47222342	47218709	47219105	47223551	47223759	785	1	28			231	149	NA	NA	0.023		NA
787	"ENSG00000102225.17"	"CDK16"	chrX	+	47222260	47222380	47218690	47219105	47223551	47223759	787	2	28			269	149	NA	NA	0.038		NA
789	"ENSG00000102225.17"	"CDK16"	chrX	+	47224384	47224476	47223637	47223759	47224617	47224743	789	15	1			241	149	NA	NA	0.903		NA
790	"ENSG00000102225.17"	"CDK16"	chrX	+	47224384	47224518	47222852	47223759	47224617	47224731	790	77	1			283	149	NA	NA	0.976		NA
791	"ENSG00000102225.17"	"CDK16"	chrX	+	47224833	47224890	47224617	47224743	47224987	47225036	791	79	1			206	149	NA	NA	0.983		NA
792	"ENSG00000130985.17"	"UBA1"	chrX	+	47198166	47198355	47193836	47194024	47198802	47198919	792	2	15			298	149	NA	NA	0.063		NA
793	"ENSG00000130985.17"	"UBA1"	chrX	+	47198308	47198355	47193828	47194024	47198802	47198919	793	1	15			196	149	NA	NA	0.048		NA
794	"ENSG00000182872.16"	"RBM10"	chrX	+	47171027	47171258	47169314	47169498	47173127	47173197	794	62	0			298	149	NA	NA	1.0		NA
795	"ENSG00000182872.16"	"RBM10"	chrX	+	47179683	47179781	47179314	47179495	47179879	47180037	795	0	34			247	149	NA	NA	0.0		NA
798	"ENSG00000147050.17"	"KDM6A"	chrX	+	44961283	44961392	44873714	44873987	44974665	44974715	798	17	0			258	149	NA	NA	1.0		NA
801	"ENSG00000147050.17"	"KDM6A"	chrX	+	44974665	44974715	44961283	44961392	45010960	45011019	801	10	0			199	149	NA	NA	1.0		NA
803	"ENSG00000147050.17"	"KDM6A"	chrX	+	45020609	45020730	45010960	45011019	45034930	45034985	803	11	0			270	149	NA	NA	1.0		NA
807	"ENSG00000147050.17"	"KDM6A"	chrX	+	45060608	45060764	45059246	45059466	45061323	45061419	807	15	0			298	149	NA	NA	1.0		NA
808	"ENSG00000147050.17"	"KDM6A"	chrX	+	45060608	45060764	45060021	45060156	45061323	45061419	808	14	3			298	149	NA	NA	0.7		NA
809	"ENSG00000147050.17"	"KDM6A"	chrX	+	45062646	45062748	45061323	45061419	45063421	45063817	809	14	8			251	149	NA	NA	0.51		NA
810	"ENSG00000147050.17"	"KDM6A"	chrX	+	45068580	45069043	45063421	45063817	45069578	45070357	810	0	17			298	149	NA	NA	0.0		NA
811	"ENSG00000147050.17"	"KDM6A"	chrX	+	45079145	45079351	45078399	45078505	45082575	45082640	811	25	0			298	149	NA	NA	1.0		NA
821	"ENSG00000147044.23"	"CASK"	chrX	-	41529528	41529648	41523950	41524034	41531006	41531209	821	0	13			269	149	NA	NA	0.0		NA
823	"ENSG00000147044.23"	"CASK"	chrX	-	41555599	41555635	41553718	41553915	41559778	41559847	823	13	0			185	149	NA	NA	1.0		NA
825	"ENSG00000147044.23"	"CASK"	chrX	-	41557031	41557100	41555599	41555635	41559778	41559847	825	1	12			218	149	NA	NA	0.054		NA
826	"ENSG00000147044.23"	"CASK"	chrX	-	41622616	41622634	41609903	41610025	41626603	41626703	826	0	27			167	149	NA	NA	0.0		NA
828	"ENSG00000147044.23"	"CASK"	chrX	-	41787177	41787283	41745496	41745601	41853114	41853193	828	41	0			255	149	NA	NA	1.0		NA
833	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41334161	41334297	41341483	41341616	833	12	0			298	149	NA	NA	1.0		NA
834	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41338912	41337407	41337465	41339035	41339083	834	2	9			298	149	NA	NA	0.1		NA
835	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41339083	41337407	41337465	41341483	41341616	835	13	0			298	149	NA	NA	1.0		NA
836	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339035	41339083	41337407	41337465	41341483	41341494	836	20	0			197	149	NA	NA	1.0		NA
837	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339038	41339083	41337407	41337465	41341483	41341616	837	11	0			194	149	NA	NA	1.0		NA
838	"ENSG00000215301.11"	"DDX3X"	chrX	+	41340635	41340814	41339035	41339083	41341483	41341616	838	0	18			298	149	NA	NA	0.0		NA
839	"ENSG00000215301.11"	"DDX3X"	chrX	+	41341948	41342046	41341483	41341616	41342494	41342506	839	0	33			247	149	NA	NA	0.0		NA
