SpliceID	dPSI	Uniprot	Type	gene	Preference
MGA:41762128-41762362	0.105	Modification	SE	MGA	Inclusion
MGST1:16357604-16357699	0.179	Modification	SE	MGST1	Inclusion
MICAL1:109448202-109448393	0.423	Modification	SE	MICAL1	Inclusion
MIDEAS:73721296-73721509	0.117	Modification	SE	MIDEAS	Inclusion
MNAT1:60796216-60796369	0.212	Modification	SE	MNAT1	Inclusion
MNAT1:60968228-60968397	0.119	Modification	SE	MNAT1	Inclusion
MPND:4352896-4353029	0.123	Modification	SE	MPND	Inclusion
MPZL1:167776063-167776166	0.144	Modification	SE	MPZL1	Inclusion
MRE11:94492781-94492897	0.371	Modification	SE	MRE11	Inclusion
MRE11:94492781-94492906	0.354	Modification	SE	MRE11	Inclusion
MRPL39:25603795-25603935	0.117	Modification	SE	MRPL39	Inclusion
MTA3:42707910-42708054	0.613	Modification	SE	MTA3	Inclusion
MYO18A:29085603-29085648	0.145	Modification	SE	MYO18A	Inclusion
NAB2:57093406-57093598	0.172	Modification	SE	NAB2	Inclusion
NAGK:71075554-71075642	0.106	Modification	SE	NAGK	Inclusion
NAP1L1:76059776-76059878	0.135	Modification	SE	NAP1L1	Inclusion
NBEA:35452091-35452235	0.136	Modification	SE	NBEA	Inclusion
NBEA:35649654-35649847	0.122	Modification	SE	NBEA	Inclusion
NBEA:35649669-35649847	0.215	Modification	SE	NBEA	Inclusion
NCOA2:70144641-70144848	0.243	Modification	SE	NCOA2	Inclusion
NCOR2:124354477-124354582	0.13	Modification	SE	NCOR2	Inclusion
NCOR2:124354477-124354582	0.248	Modification	SE	NCOR2	Inclusion
NDUFB9:124543119-124543279	0.178	Modification	SE	NDUFB9	Inclusion
NFATC2:51523080-51523596	0.189	Modification	SE	NFATC2	Inclusion
NFATC2:51523080-51524110	0.382	Modification	SE	NFATC2	Inclusion
NHS:17724298-17724430	0.555	Modification	SE	NHS	Inclusion
NTMT1:129632649-129632801	0.183	Modification	SE	NTMT1	Inclusion
NTMT1:129632649-129632865	0.163	Modification	SE	NTMT1	Inclusion
NUP214:131189052-131189131	0.308	Modification	SE	NUP214	Inclusion
NUP35:183133565-183133623	0.153	Modification	SE	NUP35	Inclusion
OTUD3:19906431-19906616	0.229	Modification	SE	OTUD3	Inclusion
OXSR1:38236838-38236961	0.114	Modification	SE	OXSR1	Inclusion
PABPC4:39563835-39563922	0.149	Modification	SE	PABPC4	Inclusion
PAK1:77379893-77379994	0.128	Modification	SE	PAK1	Inclusion
PAM:103025133-103025334	0.164	Modification	SE	PAM	Inclusion
PARP2:20344931-20345126	0.104	Modification	SE	PARP2	Inclusion
PBRM1:52615350-52615456	0.203	Modification	SE	PBRM1	Inclusion
PEX14:10536212-10536297	0.102	Modification	SE	PEX14	Inclusion
PEX14:10536212-10536297	0.407	Modification	SE	PEX14	Inclusion
PEX19:160283529-160283639	0.267	Modification	SE	PEX19	Inclusion
PHACTR4:28465684-28465849	0.153	Modification	SE	PHACTR4	Inclusion
PIP5K1C:3633436-3633520	0.166	Modification	SE	PIP5K1C	Inclusion
PKP4:158577270-158577383	0.175	Modification	SE	PKP4	Inclusion
PLD1:171687370-171687584	0.467	Modification	SE	PLD1	Inclusion
PLD1:171687370-171687584	0.853	Modification	SE	PLD1	Inclusion
PML:74033155-74033422	0.164	Modification	SE	PML	Inclusion
PPIG:169631765-169631933	0.135	Modification	SE	PPIG	Inclusion
PPIG:169631774-169631933	0.179	Modification	SE	PPIG	Inclusion
PRKAB2:147166845-147166939	0.19	Modification	SE	PRKAB2	Inclusion
PRKAB2:147167766-147167933	0.343	Modification	SE	PRKAB2	Inclusion
PRMT7:68321425-68321462	0.179	Modification	SE	PRMT7	Inclusion
PSRC1:109281618-109282060	0.101	Modification	SE	PSRC1	Inclusion
PTGES3:56665631-56666266	0.104	Modification	SE	PTGES3	Inclusion
PTGES3:56666203-56666266	0.124	Modification	SE	PTGES3	Inclusion
PTPN13:86758259-86758349	0.106	Modification	SE	PTPN13	Inclusion
PUF60:143820665-143820716	0.2	Modification	SE	PUF60	Inclusion
QKI:163563419-163563719	0.279	Modification	SE	QKI	Inclusion
RAF1:12586274-12587637	0.157	Modification	SE	RAF1	Inclusion
RAF1:12587590-12587637	0.127	Modification	SE	RAF1	Inclusion
RARG:53227361-53227687	0.124	Modification	SE	RARG	Inclusion
RASA1:87374162-87374320	0.129	Modification	SE	RASA1	Inclusion
RBM41:107088435-107088839	0.13	Modification	SE	RBM41	Inclusion
RGS12:3386415-3386437	0.125	Modification	SE	RGS12	Inclusion
RIN1:66335977-66336158	0.257	Modification	SE	RIN1	Inclusion
RIPOR2:24848024-24848154	0.103	Modification	SE	RIPOR2	Inclusion
RPAP2:92323444-92324375	0.116	Modification	SE	RPAP2	Inclusion
RPL27A:8684685-8684892	0.167	Modification	SE	RPL27A	Inclusion
RPS20:56073116-56073272	0.158	Modification	SE	RPS20	Inclusion
RSRC2:122522142-122522329	0.194	Modification	SE	RSRC2	Inclusion
SCAMP3:155261656-155261734	0.374	Modification	SE	SCAMP3	Inclusion
SCFD1:30670255-30670395	0.151	Modification	SE	SCFD1	Inclusion
SCYL2:100337386-100337506	0.154	Modification	SE	SCYL2	Inclusion
SEC16A:136445051-136445111	0.112	Modification	SE	SEC16A	Inclusion
SEC16A:136453427-136453510	0.408	Modification	SE	SEC16A	Inclusion
SENP6:75621531-75621625	0.13	Modification	SE	SENP6	Inclusion
SGO1:20174248-20175055	0.233	Modification	SE	SGO1	Inclusion
SGTB:65685367-65685472	0.181	Modification	SE	SGTB	Inclusion
SHMT2:57231480-57231560	0.132	Modification	SE	SHMT2	Inclusion
SKA3:21157921-21158125	0.101	Modification	SE	SKA3	Inclusion
SLC12A9:100854155-100854378	0.131	Modification	SE	SLC12A9	Inclusion
SLC12A9:100854155-100854378	0.359	Modification	SE	SLC12A9	Inclusion
SLC9A8:49886751-49886898	0.426	Modification	SE	SLC9A8	Inclusion
SNX5:17968374-17968457	0.142	Modification	SE	SNX5	Inclusion
SORBS1:95375972-95376056	0.118	Modification	SE	SORBS1	Inclusion
SORBS1:95375972-95376056	0.141	Modification	SE	SORBS1	Inclusion
SP100:230462434-230462518	0.292	Modification	SE	SP100	Inclusion
SPECC1:20096630-20096798	0.113	Modification	SE	SPECC1	Inclusion
SPEG:219444652-219444742	0.413	Modification	SE	SPEG	Inclusion
SPEN:15872815-15873136	0.111	Modification	SE	SPEN	Inclusion
STX1A:73709044-73709122	0.13	Modification	SE	STX1A	Inclusion
TANC2:63267747-63267873	0.512	Modification	SE	TANC2	Inclusion
TCF12:57063749-57063823	0.205	Modification	SE	TCF12	Inclusion
TCF4:55461018-55461115	0.115	Modification	SE	TCF4	Inclusion
TCF4:55461018-55461115	0.253	Modification	SE	TCF4	Inclusion
TET2:105233896-105237351	0.117	Modification	SE	TET2	Inclusion
TLE4:79705888-79705942	0.231	Modification	SE	TLE4	Inclusion
TLE4:79705888-79705942	0.646	Modification	SE	TLE4	Inclusion
TLE4:79706746-79706899	0.206	Modification	SE	TLE4	Inclusion
TMEM201:9609839-9609911	0.13	Modification	SE	TMEM201	Inclusion
TMPO:98544950-98545061	0.294	Modification	SE	TMPO	Inclusion
TP53BP1:43421024-43421174	0.258	Modification	SE	TP53BP1	Inclusion
TRRAP:98957980-98958091	0.134	Modification	SE	TRRAP	Inclusion
TSC22D4:100477276-100477459	0.24	Modification	SE	TSC22D4	Inclusion
USP10:84733434-84733503	0.107	Modification	SE	USP10	Inclusion
USP10:84740308-84740369	0.211	Modification	SE	USP10	Inclusion
USP13:179690243-179690301	0.119	Modification	SE	USP13	Inclusion
WNK3:54309094-54309315	0.386	Modification	SE	WNK3	Inclusion
YWHAZ:100924134-100924322	0.602	Modification	SE	YWHAZ	Inclusion
ZBTB21:41992492-41994108	0.246	Modification	SE	ZBTB21	Inclusion
ZC2HC1A:78698413-78698513	0.201	Modification	SE	ZC2HC1A	Inclusion
ZKSCAN8:28148315-28148824	0.128	Modification	SE	ZKSCAN8	Inclusion
ZKSCAN8:28148315-28148824	0.235	Modification	SE	ZKSCAN8	Inclusion
ZKSCAN8:28148315-28148838	0.257	Modification	SE	ZKSCAN8	Inclusion
ZKSCAN8:28148315-28148838	0.338	Modification	SE	ZKSCAN8	Inclusion
ZNF638:71428546-71428651	0.449	Modification	SE	ZNF638	Inclusion
ZNF692:248856513-248856562	0.173	Modification	SE	ZNF692	Inclusion
ACHE:100892333-100892554	0.118	Disulfide Bond	SE	ACHE	Inclusion
ACHE:100892333-100892643	0.118	Disulfide Bond	SE	ACHE	Inclusion
ACHE:100892333-100892818	0.115	Disulfide Bond	SE	ACHE	Inclusion
ADAM23:206561127-206561212	0.183	Disulfide Bond	SE	ADAM23	Inclusion
ADGRE5:14396341-14396473	0.132	Disulfide Bond	SE	ADGRE5	Inclusion
ADGRE5:14397076-14397223	0.163	Disulfide Bond	SE	ADGRE5	Inclusion
ADGRG1:57656513-57656617	0.211	Disulfide Bond	SE	ADGRG1	Inclusion
ADGRV1:90854061-90854201	0.136	Disulfide Bond	SE	ADGRV1	Inclusion
APP:26000014-26000182	0.128	Disulfide Bond	SE	APP	Inclusion
APP:26000014-26000182	0.212	Disulfide Bond	SE	APP	Inclusion
ASIC3:151051171-151051319	0.16	Disulfide Bond	SE	ASIC3	Inclusion
BMPR1B:95114719-95114827	0.189	Disulfide Bond	SE	BMPR1B	Inclusion
CD74:150403120-150403312	0.153	Disulfide Bond	SE	CD74	Inclusion
CD74:150403120-150403312	0.763	Disulfide Bond	SE	CD74	Inclusion
CD74:150403120-150404767	0.156	Disulfide Bond	SE	CD74	Inclusion
CD74:150403120-150404767	0.593	Disulfide Bond	SE	CD74	Inclusion
CELSR1:46439188-46439411	0.118	Disulfide Bond	SE	CELSR1	Inclusion
CMC1:28263290-28263380	0.101	Disulfide Bond	SE	CMC1	Inclusion
EFNA4:155067371-155067440	0.556	Disulfide Bond	SE	EFNA4	Inclusion
ERP44:100052416-100052532	0.133	Disulfide Bond	SE	ERP44	Inclusion
F3:94532320-94532480	0.237	Disulfide Bond	SE	F3	Inclusion
FGFR3:1803691-1803836	0.173	Disulfide Bond	SE	FGFR3	Inclusion
FGFR4:177090389-177090653	0.144	Disulfide Bond	SE	FGFR4	Inclusion
GALNT7:173295763-173295843	0.117	Disulfide Bond	SE	GALNT7	Inclusion
GGCX:85555483-85555590	0.103	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85556181-85556260	0.349	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558916-85559075	0.125	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558916-85559075	0.321	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558916-85559075	0.373	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558916-85559075	0.39	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558916-85559075	0.768	Disulfide Bond	SE	GGCX	Inclusion
GGCX:85558945-85559075	0.335	Disulfide Bond	SE	GGCX	Inclusion
HGFAC:3443049-3443146	0.214	Disulfide Bond	SE	HGFAC	Inclusion
IL15RA:5966144-5966339	0.454	Disulfide Bond	SE	IL15RA	Inclusion
IL15RA:5966144-5966339	0.492	Disulfide Bond	SE	IL15RA	Inclusion
IL15RA:5966144-5966339	0.524	Disulfide Bond	SE	IL15RA	Inclusion
IL17RA:17103493-17103577	0.613	Disulfide Bond	SE	IL17RA	Inclusion
LDLRAD4:13438243-13438384	0.209	Disulfide Bond	SE	LDLRAD4	Inclusion
LOXL3:74536708-74536928	0.182	Disulfide Bond	SE	LOXL3	Inclusion
LRP1B:140993994-140994135	0.103	Disulfide Bond	SE	LRP1B	Inclusion
LTBP2:74528482-74528698	0.21	Disulfide Bond	SE	LTBP2	Inclusion
LYPD6:149468644-149468775	0.139	Disulfide Bond	SE	LYPD6	Inclusion
MALT1:58709975-58710072	0.611	Disulfide Bond	SE	MALT1	Inclusion
MAN1C1:25778104-25778324	0.377	Disulfide Bond	SE	MAN1C1	Inclusion
MANBA:102722870-102723041	0.188	Disulfide Bond	SE	MANBA	Inclusion
MMP25-AS1:3058539-3058702	0.219	Disulfide Bond	SE	AS1	Inclusion
NAGPA:5028296-5028398	0.11	Disulfide Bond	SE	NAGPA	Inclusion
NOTCH3:15184294-15184450	0.155	Disulfide Bond	SE	NOTCH3	Inclusion
PIGT:45419503-45419590	0.42	Disulfide Bond	SE	PIGT	Inclusion
PIGT:45419507-45419590	0.17	Disulfide Bond	SE	PIGT	Inclusion
PKD1:2116832-2117016	0.162	Disulfide Bond	SE	PKD1	Inclusion
PKD1:2116832-2117053	0.148	Disulfide Bond	SE	PKD1	Inclusion
PLXNB3:153766872-153767913	0.142	Disulfide Bond	SE	PLXNB3	Inclusion
SCN1A:166047626-166047768	0.184	Disulfide Bond	SE	SCN1A	Inclusion
SCN9A:166294598-166294662	0.258	Disulfide Bond	SE	SCN9A	Inclusion
SCO1:10692763-10692961	0.165	Disulfide Bond	SE	SCO1	Inclusion
SEMA4B:90217766-90217928	0.38	Disulfide Bond	SE	SEMA4B	Inclusion
SUMF2:56074585-56074736	0.133	Disulfide Bond	SE	SUMF2	Inclusion
SUMF2:56074585-56074736	0.338	Disulfide Bond	SE	SUMF2	Inclusion
TECTA:121166577-121166780	0.162	Disulfide Bond	SE	TECTA	Inclusion
TENM1:124645142-124645337	0.296	Disulfide Bond	SE	TENM1	Inclusion
USP5:6861442-6861617	0.13	Disulfide Bond	SE	USP5	Inclusion
USP5:6862469-6862558	0.153	Disulfide Bond	SE	USP5	Inclusion
A1BG-AS1:58353320-58353474	0.13	Signal	SE	AS1	Inclusion
A1BG-AS1:58353378-58353474	0.121	Signal	SE	AS1	Inclusion
C11orf24:68263572-68263714	0.685	Signal	SE	C11orf24	Inclusion
DIABLO:122224644-122224748	0.135	Signal	SE	DIABLO	Inclusion
ECSIT:11519074-11519193	0.174	Signal	SE	ECSIT	Inclusion
ECSIT:11519074-11519193	0.23	Signal	SE	ECSIT	Inclusion
ENSG00000288698:179615982-179616049	0.111	Signal	SE	ENSG00000288698	Inclusion
GABRE:151970184-151970402	0.667	Signal	SE	GABRE	Inclusion
IL15RA:5966144-5966339	0.454	Signal	SE	IL15RA	Inclusion
IL15RA:5966144-5966339	0.492	Signal	SE	IL15RA	Inclusion
IL15RA:5966144-5966339	0.524	Signal	SE	IL15RA	Inclusion
IPO11:62536701-62536781	0.248	Signal	SE	IPO11	Inclusion
LRP12:104531906-104531963	0.26	Signal	SE	LRP12	Inclusion
MFSD4B:111262256-111262425	0.234	Signal	SE	MFSD4B	Inclusion
PLXNB3:153766872-153767913	0.142	Signal	SE	PLXNB3	Inclusion
SDHC:161323613-161323670	0.43	Signal	SE	SDHC	Inclusion
SDHC:161326650-161326768	0.414	Signal	SE	SDHC	Inclusion
SDHC:161328395-161328497	0.206	Signal	SE	SDHC	Inclusion
SGCE:94644605-94644667	0.2	Signal	SE	SGCE	Inclusion
TMEM161A:19134783-19134916	0.124	Signal	SE	TMEM161A	Inclusion
UBAC2:99201428-99201567	0.229	Signal	SE	UBAC2	Inclusion
VSIG10:118102988-118103170	0.157	Signal	SE	VSIG10	Inclusion
WDR81:1731067-1731258	0.109	Signal	SE	WDR81	Inclusion
WDR81:1731067-1731258	0.205	Signal	SE	WDR81	Inclusion
ABCA11P:472574-472701	0.117	Protein Domain	SE	ABCA11P	Inclusion
ABCC1:16076325-16076401	0.301	Protein Domain	SE	ABCC1	Inclusion
ABCC5:183981726-183981874	0.306	Protein Domain	SE	ABCC5	Inclusion
ABCD4:74288206-74288259	0.258	Protein Domain	SE	ABCD4	Inclusion
ABCD4:74288659-74288765	0.3	Protein Domain	SE	ABCD4	Inclusion
ABCD4:74288715-74288765	0.231	Protein Domain	SE	ABCD4	Inclusion
ABCD4:74297929-74298069	0.132	Protein Domain	SE	ABCD4	Inclusion
ABHD14A-ACY1:51978258-51978374	0.223	Protein Domain	SE	ACY1	Inclusion
ABHD14A-ACY1:51978258-51978374	0.319	Protein Domain	SE	ACY1	Inclusion
ABI2:203376056-203376132	0.198	Protein Domain	SE	ABI2	Inclusion
ACAA1:38126161-38126341	0.216	Protein Domain	SE	ACAA1	Inclusion
ACAP2:195392089-195392147	0.476	Protein Domain	SE	ACAP2	Inclusion
ACCS:44073343-44073517	0.248	Protein Domain	SE	ACCS	Inclusion
ACCS:44073446-44073517	0.258	Protein Domain	SE	ACCS	Inclusion
ACHE:100892333-100892818	0.115	Protein Domain	SE	ACHE	Inclusion
ACOT8:45848449-45848675	0.157	Protein Domain	SE	ACOT8	Inclusion
ACOT8:45848449-45848675	0.29	Protein Domain	SE	ACOT8	Inclusion
ACOT8:45853922-45853984	0.352	Protein Domain	SE	ACOT8	Inclusion
ACSF3:89100661-89101347	0.12	Protein Domain	SE	ACSF3	Inclusion
ACSF3:89114338-89114487	0.108	Protein Domain	SE	ACSF3	Inclusion
ADAM19:157513423-157513505	0.124	Protein Domain	SE	ADAM19	Inclusion
ADAM23:206561127-206561212	0.183	Protein Domain	SE	ADAM23	Inclusion
ADAM32:39129975-39130097	0.227	Protein Domain	SE	ADAM32	Inclusion
ADAM32:39136656-39136718	0.169	Protein Domain	SE	ADAM32	Inclusion
ADGRE5:14396341-14396473	0.132	Protein Domain	SE	ADGRE5	Inclusion
ADGRE5:14397076-14397223	0.163	Protein Domain	SE	ADGRE5	Inclusion
ADGRG1:57656513-57656617	0.211	Protein Domain	SE	ADGRG1	Inclusion
ADGRV1:90854061-90854201	0.136	Protein Domain	SE	ADGRV1	Inclusion
ADH5:99081364-99081420	0.319	Protein Domain	SE	ADH5	Inclusion
ADK:74589281-74589317	0.192	Protein Domain	SE	ADK	Inclusion
ADPGK:72756250-72756447	0.102	Protein Domain	SE	ADPGK	Inclusion
AFF1:87132270-87132408	0.105	Protein Domain	SE	AFF1	Inclusion
AFMID:78204655-78204741	0.24	Protein Domain	SE	AFMID	Inclusion
AFMID:78204827-78204900	0.131	Protein Domain	SE	AFMID	Inclusion
AGFG2:100553346-100553500	0.34	Protein Domain	SE	AGFG2	Inclusion
AGPAT5:6741660-6741751	0.243	Protein Domain	SE	AGPAT5	Inclusion
AGPS:177523747-177523805	0.133	Protein Domain	SE	AGPS	Inclusion
AGTPBP1:85575314-85575475	0.179	Protein Domain	SE	AGTPBP1	Inclusion
AHRR:413343-413433	0.176	Protein Domain	SE	AHRR	Inclusion
AHRR:422728-422858	0.115	Protein Domain	SE	AHRR	Inclusion
AHRR:422728-422858	0.138	Protein Domain	SE	AHRR	Inclusion
AKR1A1:45568484-45568684	0.67	Protein Domain	SE	AKR1A1	Inclusion
AKR1A1:45569142-45569229	0.693	Protein Domain	SE	AKR1A1	Inclusion
AKT1S1:49872916-49873302	0.248	Protein Domain	SE	AKT1S1	Inclusion
ALDH8A1:134929053-134929215	0.405	Protein Domain	SE	ALDH8A1	Inclusion
ALPK2:58514992-58515081	0.118	Protein Domain	SE	ALPK2	Inclusion
AMDHD2:2527560-2527615	0.113	Protein Domain	SE	AMDHD2	Inclusion
AMDHD2:2528993-2529095	0.116	Protein Domain	SE	AMDHD2	Inclusion
AMMECR1:110216517-110216632	0.133	Protein Domain	SE	AMMECR1	Inclusion
AMMECR1:110264488-110264599	0.125	Protein Domain	SE	AMMECR1	Inclusion
AMMECR1:110264488-110264599	0.191	Protein Domain	SE	AMMECR1	Inclusion
AMMECR1:110264488-110264599	0.288	Protein Domain	SE	AMMECR1	Inclusion
ANKRD13A:110024045-110024112	0.121	Protein Domain	SE	ANKRD13A	Inclusion
ANKRD13A:110024045-110024112	0.142	Protein Domain	SE	ANKRD13A	Inclusion
ANPEP:89804945-89805217	0.229	Protein Domain	SE	ANPEP	Inclusion
ANPEP:89805077-89805217	0.191	Protein Domain	SE	ANPEP	Inclusion
AP2A2:981197-981299	0.257	Protein Domain	SE	AP2A2	Inclusion
AP4B1:113901235-113901383	0.122	Protein Domain	SE	AP4B1	Inclusion
AP4M1:100105044-100105098	0.299	Protein Domain	SE	AP4M1	Inclusion
AP5Z1:4783315-4783460	0.499	Protein Domain	SE	AP5Z1	Inclusion
APP:26000014-26000182	0.128	Protein Domain	SE	APP	Inclusion
APP:26000014-26000182	0.212	Protein Domain	SE	APP	Inclusion
APTX:32988091-32988124	0.152	Protein Domain	SE	APTX	Inclusion
ARFGAP2:47173758-47173882	0.398	Protein Domain	SE	ARFGAP2	Inclusion
ARFGAP2:47173758-47173915	0.374	Protein Domain	SE	ARFGAP2	Inclusion
ARHGAP12:31854065-31854206	0.156	Protein Domain	SE	ARHGAP12	Inclusion
ARHGAP19-SLIT1:97264825-97264906	0.321	Protein Domain	SE	SLIT1	Inclusion
ARHGAP21:24635010-24635103	0.213	Protein Domain	SE	ARHGAP21	Inclusion
ARID3C:34625741-34625814	0.521	Protein Domain	SE	ARID3C	Inclusion
ARID5B:62057116-62057318	0.21	Protein Domain	SE	ARID5B	Inclusion
ARID5B:62059266-62059295	0.201	Protein Domain	SE	ARID5B	Inclusion
